Id,Label,timeset,modularity_class
P84085|ARF5_HUMAN,,,25
P62491|RB11A_HUMAN,,,2
O75154|RFIP3_HUMAN,,,2
Q15366|PCBP2_HUMAN,,,10
P07195|LDHB_HUMAN,,,25
P11310|ACADM_HUMAN,,,2
Q13286|CLN3_HUMAN,,,2
Q10567|AP1B1_HUMAN,,,13
P11474|ERR1_HUMAN,,,1
Q9NPJ4|PNRC2_HUMAN,,,1
Q92786|PROX1_HUMAN,,,1
P62195|PRS8_HUMAN,,,5
P62508|ERR3_HUMAN,,,1
Q02790|FKBP4_HUMAN,,,19
Q8IVV2|LOXH1_HUMAN,,,19
P08235|MCR_HUMAN,,,19
Q9NRC8|SIR7_HUMAN,,,10
Q9Y478|AAKB1_HUMAN,,,12
P37840|SYUA_HUMAN,,,19
Q96E09|F122A_HUMAN,,,6
Q13501|SQSTM_HUMAN,,,15
O14792|HS3S1_HUMAN,,,10
Q9BXB1|LGR4_HUMAN,,,10
P13569|CFTR_HUMAN,,,19
P02652|APOA2_HUMAN,,,7
Q96QZ7|MAGI1_HUMAN,,,12
P62826|RAN_HUMAN,,,14
Q9BUN8|DERL1_HUMAN,,,5
Q9Y6M7|S4A7_HUMAN,,,8
P08238|HS90B_HUMAN,,,19
O94905|ERLN2_HUMAN,,,5
Q16082|HSPB2_HUMAN,,,13
Q96D71|REPS1_HUMAN,,,13
P11142|HSP7C_HUMAN,,,19
O75477|ERLN1_HUMAN,,,5
P34932|HSP74_HUMAN,,,19
P20618|PSB1_HUMAN,,,5
P07602|SAP_HUMAN,,,10
O76024|WFS1_HUMAN,,,5
Q99942|RNF5_HUMAN,,,15
Q9NQ35|NRIP3_HUMAN,,,19
P33176|KINH_HUMAN,,,12
Q8WWM7|ATX2L_HUMAN,,,10
Q9UKV5|AMFR_HUMAN,,,5
Q16850|CP51A_HUMAN,,,3
A5X5Y0|5HT3E_HUMAN,,,5
Q96RU2|UBP28_HUMAN,,,15
Q9H3M9|ATX3L_HUMAN,,,15
Q6NZY4|ZCHC8_HUMAN,,,10
O15067|PUR4_HUMAN,,,25
Q70EK9|UBP51_HUMAN,,,15
Q13233|M3K1_HUMAN,,,15
P40818|UBP8_HUMAN,,,15
P01106|MYC_HUMAN,,,1
Q92783|STAM1_HUMAN,,,15
O60341|KDM1A_HUMAN,,,1
Q96FW1|OTUB1_HUMAN,,,25
P52569|CTR2_HUMAN,,,7
P33260|CP2CI_HUMAN,,,7
O14558|HSPB6_HUMAN,,,12
Q86XK2|FBX11_HUMAN,,,17
P11233|RALA_HUMAN,,,6
Q9NV70|EXOC1_HUMAN,,,6
P30154|2AAB_HUMAN,,,19
Q8WWW0|RASF5_HUMAN,,,19
Q9H0W5|CCDC8_HUMAN,,,0
Q15233|NONO_HUMAN,,,10
P49711|CTCF_HUMAN,,,1
Q15311|RBP1_HUMAN,,,13
P01112|RASH_HUMAN,,,3
Q8WXI2|CNKR2_HUMAN,,,0
Q13393|PLD1_HUMAN,,,3
Q9UHR4|BI2L1_HUMAN,,,3
Q96PC2|IP6K3_HUMAN,,,0
P42768|WASP_HUMAN,,,3
Q24JP5|T132A_HUMAN,,,7
Q15818|NPTX1_HUMAN,,,7
Q9HAT2|SIAE_HUMAN,,,7
Q9Y4C4|MFHA1_HUMAN,,,19
O43252|PAPS1_HUMAN,,,25
O14641|DVL2_HUMAN,,,12
P49407|ARRB1_HUMAN,,,0
Q9UJV9|DDX41_HUMAN,,,10
Q99570|PI3R4_HUMAN,,,6
Q9UF56|FXL17_HUMAN,,,17
P35813|PPM1A_HUMAN,,,12
Q92997|DVL3_HUMAN,,,12
Q96RL1|UIMC1_HUMAN,,,1
Q9ULT6|ZNRF3_HUMAN,,,15
P26368|U2AF2_HUMAN,,,10
Q9P0T4|ZN581_HUMAN,,,15
P61586|RHOA_HUMAN,,,3
P07947|YES_HUMAN,,,3
Q96EB6|SIR1_HUMAN,,,1
Q86YD7|F90A1_HUMAN,,,10
Q08117|AES_HUMAN,,,1
P53350|PLK1_HUMAN,,,4
Q9H6T3|RPAP3_HUMAN,,,13
P07900|HS90A_HUMAN,,,19
Q9NVU0|RPC5_HUMAN,,,21
O00458|IFRD1_HUMAN,,,1
Q86VU5|CMTD1_HUMAN,,,10
O75563|SKAP2_HUMAN,,,3
P07948|LYN_HUMAN,,,3
Q14667|K0100_HUMAN,,,19
Q9BV68|RN126_HUMAN,,,15
Q9Y6M0|TEST_HUMAN,,,19
Q92542|NICA_HUMAN,,,10
P31270|HXA11_HUMAN,,,1
Q92769|HDAC2_HUMAN,,,1
O00470|MEIS1_HUMAN,,,1
Q13547|HDAC1_HUMAN,,,1
Q9H977|WDR54_HUMAN,,,21
Q8WVF1|OSCP1_HUMAN,,,21
Q96MF2|STAC3_HUMAN,,,21
Q8TB22|SPT20_HUMAN,,,2
Q8WV74|NUDT8_HUMAN,,,2
O75528|TADA3_HUMAN,,,1
P12694|ODBA_HUMAN,,,2
Q5U5X0|LYRM7_HUMAN,,,2
P36542|ATPG_HUMAN,,,2
Q8TDI8|TMC1_HUMAN,,,2
Q9UJK0|TSR3_HUMAN,,,10
Q9BUQ8|DDX23_HUMAN,,,10
P04637|P53_HUMAN,,,1
Q6P2Q9|PRP8_HUMAN,,,10
P17980|PRS6A_HUMAN,,,5
O14561|ACPM_HUMAN,,,2
Q9Y697|NFS1_HUMAN,,,2
Q16795|NDUA9_HUMAN,,,2
Q9HD34|LYRM4_HUMAN,,,2
Q5TEU4|NDUF5_HUMAN,,,2
Q9Y2T7|YBOX2_HUMAN,,,10
P67809|YBOX1_HUMAN,,,10
P26006|ITA3_HUMAN,,,3
O00499|BIN1_HUMAN,,,3
Q9UPZ3|HPS5_HUMAN,,,3
Q7Z6R9|AP2D_HUMAN,,,13
P05549|AP2A_HUMAN,,,13
Q16526|CRY1_HUMAN,,,19
P17987|TCPA_HUMAN,,,19
O14744|ANM5_HUMAN,,,1
P53041|PPP5_HUMAN,,,19
P21926|CD9_HUMAN,,,3
P43121|MUC18_HUMAN,,,3
P27701|CD82_HUMAN,,,3
P05556|ITB1_HUMAN,,,3
P04233|HG2A_HUMAN,,,3
Q9UBF2|COPG2_HUMAN,,,2
Q9NR20|DYRK4_HUMAN,,,2
Q8TDD2|SP7_HUMAN,,,15
P36873|PP1G_HUMAN,,,13
Q96TA2|YMEL1_HUMAN,,,2
O14735|CDIPT_HUMAN,,,19
Q9C0J8|WDR33_HUMAN,,,21
Q13618|CUL3_HUMAN,,,17
Q96S59|RANB9_HUMAN,,,7
Q9BYD3|RM04_HUMAN,,,2
Q05655|KPCD_HUMAN,,,3
P56817|BACE1_HUMAN,,,15
P35520|CBS_HUMAN,,,25
P17612|KAPCA_HUMAN,,,0
P30530|UFO_HUMAN,,,3
Q9UHM6|OPN4_HUMAN,,,3
P05067|A4_HUMAN,,,7
Q92499|DDX1_HUMAN,,,10
Q8IVV7|GID4_HUMAN,,,7
P42677|RS27_HUMAN,,,10
Q6VN20|RBP10_HUMAN,,,7
P01730|CD4_HUMAN,,,3
P08637|FCG3A_HUMAN,,,3
P08575|PTPRC_HUMAN,,,3
Q8NI17|IL31R_HUMAN,,,3
P28907|CD38_HUMAN,,,3
P02786|TFR1_HUMAN,,,2
P04406|G3P_HUMAN,,,25
P07550|ADRB2_HUMAN,,,0
Q15131|CDK10_HUMAN,,,13
P06239|LCK_HUMAN,,,3
Q6XQN6|PNCB_HUMAN,,,25
Q9NYS7|WSB2_HUMAN,,,19
Q8WXF1|PSPC1_HUMAN,,,10
Q9UMW8|UBP18_HUMAN,,,6
P23443|KS6B1_HUMAN,,,3
P55060|XPO2_HUMAN,,,25
Q9UBN7|HDAC6_HUMAN,,,19
O14802|RPC1_HUMAN,,,21
P15531|NDKA_HUMAN,,,25
Q96AE4|FUBP1_HUMAN,,,25
Q9Y3F4|STRAP_HUMAN,,,10
P14174|MIF_HUMAN,,,25
P52888|THOP1_HUMAN,,,25
P23528|COF1_HUMAN,,,25
Q8N9Q2|SR1IP_HUMAN,,,25
O60934|NBN_HUMAN,,,1
Q8N806|UBR7_HUMAN,,,25
Q9BUL8|PDC10_HUMAN,,,19
Q15120|PDK3_HUMAN,,,19
P25106|ACKR3_HUMAN,,,2
Q13769|THOC5_HUMAN,,,14
Q9Y4K4|M4K5_HUMAN,,,3
P16333|NCK1_HUMAN,,,3
Q96T59|CDRTF_HUMAN,,,2
P07992|ERCC1_HUMAN,,,1
O60671|RAD1_HUMAN,,,1
Q15545|TAF7_HUMAN,,,1
Q8NFJ5|RAI3_HUMAN,,,13
Q00325|MPCP_HUMAN,,,2
Q9NRV9|HEBP1_HUMAN,,,25
P68036|UB2L3_HUMAN,,,15
Q7KZN9|COX15_HUMAN,,,2
Q9HC21|TPC_HUMAN,,,2
Q6P1L8|RM14_HUMAN,,,2
Q9UI09|NDUAC_HUMAN,,,2
Q9NXJ0|M4A12_HUMAN,,,13
P09622|DLDH_HUMAN,,,2
O14715|RGPD8_HUMAN,,,14
Q96LY2|CC74B_HUMAN,,,5
P55197|AF10_HUMAN,,,1
Q9H1B5|XYLT2_HUMAN,,,2
P22304|IDS_HUMAN,,,7
P47872|SCTR_HUMAN,,,0
P13861|KAP2_HUMAN,,,4
P19438|TNR1A_HUMAN,,,6
Q8NFH8|REPS2_HUMAN,,,13
A5PKW4|PSD1_HUMAN,,,12
Q9HAU4|SMUF2_HUMAN,,,12
P62877|RBX1_HUMAN,,,17
Q9HCE7|SMUF1_HUMAN,,,12
O43623|SNAI2_HUMAN,,,5
Q9UNE7|CHIP_HUMAN,,,19
Q00987|MDM2_HUMAN,,,1
P82251|BAT1_HUMAN,,,14
Q8NI27|THOC2_HUMAN,,,14
P21673|SAT1_HUMAN,,,14
P14867|GBRA1_HUMAN,,,5
Q08209|PP2BA_HUMAN,,,0
Q9BY42|RTF2_HUMAN,,,13
P17812|PYRG1_HUMAN,,,25
Q9P2J5|SYLC_HUMAN,,,10
Q8TDY2|RBCC1_HUMAN,,,15
Q96LT7|CI072_HUMAN,,,10
Q14151|SAFB2_HUMAN,,,10
O75410|TACC1_HUMAN,,,25
P35222|CTNB1_HUMAN,,,1
P40337|VHL_HUMAN,,,19
Q9H492|MLP3A_HUMAN,,,15
Q9BRB3|PIGQ_HUMAN,,,0
Q92535|PIGC_HUMAN,,,0
P57054|PIGP_HUMAN,,,0
Q9UBV7|B4GT7_HUMAN,,,6
Q96RR1|PEO1_HUMAN,,,15
Q96NW7|LRRC7_HUMAN,,,3
O14656|TOR1A_HUMAN,,,2
Q99569|PKP4_HUMAN,,,3
P60520|GBRL2_HUMAN,,,15
Q8IVP5|FUND1_HUMAN,,,15
Q92609|TBCD5_HUMAN,,,15
Q86UD3|MARH3_HUMAN,,,15
Q8WVZ9|KBTB7_HUMAN,,,15
Q96CV9|OPTN_HUMAN,,,15
Q99972|MYOC_HUMAN,,,25
Q16775|GLO2_HUMAN,,,25
P08670|VIME_HUMAN,,,0
O15230|LAMA5_HUMAN,,,3
Q9BV20|MTNA_HUMAN,,,25
Q8NFC6|BD1L1_HUMAN,,,1
Q9H2E6|SEM6A_HUMAN,,,3
Q8WZ60|KLHL6_HUMAN,,,17
Q86YJ7|AN13B_HUMAN,,,5
Q13395|TARB1_HUMAN,,,15
O43681|ASNA_HUMAN,,,5
Q9BZR6|RTN4R_HUMAN,,,2
P23515|OMGP_HUMAN,,,17
P25789|PSA4_HUMAN,,,5
Q96DE5|APC16_HUMAN,,,20
